Event Name,Time,Distinct ID,Browser,Browser Version,City,Current URL,Device ID,Initial Referrer,Initial Referring Domain,Insert ID,Library Version,API Endpoint,API Timestamp,Operating System,Region,Screen Height,Screen Width,Date,Hour,Country,Mixpanel Library,Time Processed (UTC),mp_sent_by_lib_version
App visited,1693898272.124,$device:18a6434706738a-062f66b71441a9-26031f51-100200-18a6434706738a,Chrome,116,M'Sila,http://localhost:5173/,18a6434706738a-062f66b71441a9-26031f51-100200-18a6434706738a,$direct,$direct,2mgal2upr6fjxuln,2.47.0,api-js.mixpanel.com,1693898272124,Windows,M'Sila,768,1366,5-8-2023,8,DZ,web,1693898272321,2.47.0
App visited,1693897432.473,$device:18a5f4a4735a3b-0071ccf96d65c7-26031f51-100200-18a5f4a4735a3c,Chrome,116,M'Sila,http://localhost:5173/,18a5f4a4735a3b-0071ccf96d65c7-26031f51-100200-18a5f4a4735a3c,$direct,$direct,vt3ej2slvod8mr06,2.47.0,api-js.mixpanel.com,1693897432473,Windows,M'Sila,768,1366,5-8-2023,8,DZ,web,1693897432928,2.47.0
